UUID;Name (de);Name (en);Kategorie (en);Schuettdichte (kg/m3);Flaechengewicht (kg/m2);Rohdichte (kg/m3);Schichtdicke (m);GWP;ODP;POCP;AP;EP;Typ
5ef0c519-f5b2-4d45-809d-5f417f90e90b;Hanfvlies;Hemp fibre fleece;'Insulation materials' / 'Hemp' / 'Hemp fibre mat';;;38.0;;-12.0030601505827;-5.644e-13;-0.0005902668293026;0.0046089261444257;0.0024979989927971;generic dataset
5e90e94d-6e79-4d9f-854c-fb33f15c033e;Blendrahmen PVC-U;Window frame PVC-U;'Components for windows and curtain walls' / 'Frames / Profiles' / 'PVC';;;;;8.25055055446055;2.262436e-10;0.0023119224813921;0.0163159429292675;0.0020816036058083;generic dataset
5e90e94d-6e79-4d9f-854c-fb33f15c033e;Blendrahmen PVC-U;Window frame PVC-U;'Components for windows and curtain walls' / 'Frames / Profiles' / 'PVC';;;;;0.000988447007701;0.0;3.406634093e-07;3.4476497957e-06;8.134566511e-07;generic dataset
5e90e94d-6e79-4d9f-854c-fb33f15c033e;Blendrahmen PVC-U;Window frame PVC-U;'Components for windows and curtain walls' / 'Frames / Profiles' / 'PVC';;;;;0.0071483257369292;0.0;-4.7191328932e-06;1.44388475424e-05;3.4325132468e-06;generic dataset
5e90e94d-6e79-4d9f-854c-fb33f15c033e;Blendrahmen PVC-U;Window frame PVC-U;'Components for windows and curtain walls' / 'Frames / Profiles' / 'PVC';;;;;3.91686807854251;1.3e-14;0.0001196824181585;0.0008863003231248;0.0001883852872781;generic dataset
5e90e94d-6e79-4d9f-854c-fb33f15c033e;Blendrahmen PVC-U;Window frame PVC-U;'Components for windows and curtain walls' / 'Frames / Profiles' / 'PVC';;;;;-3.22888103338793;-5.3e-15;-0.0007858561912064;-0.0061756960581674;-0.0005904357615938;generic dataset
5dad78e0-234c-49d0-93aa-a06c6efee60f;Fußbodenheizung Kupfer (200 mm Abstand);Underfloor heating system copper (200mm distance);'Building service engineering' / 'Heating' / 'Heat distribution and dissipation';;3.3;;;12.9789614072824;1.447e-13;0.0227810048931877;0.127944184419842;0.0187140506227175;generic dataset
5dad78e0-234c-49d0-93aa-a06c6efee60f;Fußbodenheizung Kupfer (200 mm Abstand);Underfloor heating system copper (200mm distance);'Building service engineering' / 'Heating' / 'Heat distribution and dissipation';;3.3;;;0.0296234842206069;3e-16;-4.69978469319e-05;0.0001332512104944;3.33175706136e-05;generic dataset
5dad78e0-234c-49d0-93aa-a06c6efee60f;Fußbodenheizung Kupfer (200 mm Abstand);Underfloor heating system copper (200mm distance);'Building service engineering' / 'Heating' / 'Heat distribution and dissipation';;3.3;;;3.16865279116857;5e-16;2.20656416733e-05;0.0003005843767538;6.39809058583e-05;generic dataset
5dad78e0-234c-49d0-93aa-a06c6efee60f;Fußbodenheizung Kupfer (200 mm Abstand);Underfloor heating system copper (200mm distance);'Building service engineering' / 'Heating' / 'Heat distribution and dissipation';;3.3;;;-4.05503287882382;-4.45e-14;-0.0022893091917925;-0.0494772596115411;-0.0012239616883077;generic dataset
5ce375b1-eb6d-4fc7-84bb-11ae702d3056;Gips (CaSO4-Alpha-Halbhydrat);Gypsum (CaSO4 alpha semihydrate);'Mineral building products' / 'Binder' / 'Gypsum';;;;;0.261834537953454;1.4e-15;2.51504745403e-05;0.0001989556513941;3.45703568177e-05;generic dataset
5ce375b1-eb6d-4fc7-84bb-11ae702d3056;Gips (CaSO4-Alpha-Halbhydrat);Gypsum (CaSO4 alpha semihydrate);'Mineral building products' / 'Binder' / 'Gypsum';;;;;0.003485736888164;0.0;-2.4200627161e-06;7.7565379376e-06;1.8622863761e-06;generic dataset
5ce375b1-eb6d-4fc7-84bb-11ae702d3056;Gips (CaSO4-Alpha-Halbhydrat);Gypsum (CaSO4 alpha semihydrate);'Mineral building products' / 'Binder' / 'Gypsum';;;;;0.0163696815146373;0.0;7.8851850754e-06;0.0001039914062899;1.17001629032e-05;generic dataset
5cc8769c-da1b-4967-bb4d-c8fe7b4c359d;Vegetationssubtrat;Vegetation substrate;'Mineral building products' / 'Bricks, blocks and elements' / 'Substrate';;;1400.0;;-0.0469051623061237;4.1e-15;7.9889982833e-06;0.0001624346656476;7.76658684507e-05;generic dataset
5cc8769c-da1b-4967-bb4d-c8fe7b4c359d;Vegetationssubtrat;Vegetation substrate;'Mineral building products' / 'Bricks, blocks and elements' / 'Substrate';;;1400.0;;0.0007188705510552;0.0;2.477552068e-07;2.5073816696e-06;5.916048372e-07;generic dataset
5cc8769c-da1b-4967-bb4d-c8fe7b4c359d;Vegetationssubtrat;Vegetation substrate;'Mineral building products' / 'Bricks, blocks and elements' / 'Substrate';;;1400.0;;0.0027850619754269;0.0;-1.6854046047e-06;5.6255250165e-06;1.3373428234e-06;generic dataset
5cc8769c-da1b-4967-bb4d-c8fe7b4c359d;Vegetationssubtrat;Vegetation substrate;'Mineral building products' / 'Bricks, blocks and elements' / 'Substrate';;;1400.0;;0.0073372188451575;0.0;4.3061521582e-06;4.74501380658e-05;8.0738218934e-06;generic dataset
5cc8769c-da1b-4967-bb4d-c8fe7b4c359d;Vegetationssubtrat;Vegetation substrate;'Mineral building products' / 'Bricks, blocks and elements' / 'Substrate';;;1400.0;;-0.0020539811327156;-0.0;4.458720007e-07;-4.8504171098e-06;-9.438132435e-07;generic dataset
5c82c3cf-7c88-441f-b430-a815501d06e1;End of life - Kupferrohr (ummantelt);End of life copper pipes (coated);'End of Life' / 'Generic' / 'Building service engineering';;;;;0.00823315946372;1e-16;-1.41681839572e-05;3.45371254196e-05;8.5898885642e-06;generic dataset
5c82c3cf-7c88-441f-b430-a815501d06e1;End of life - Kupferrohr (ummantelt);End of life copper pipes (coated);'End of Life' / 'Generic' / 'Building service engineering';;;;;0.0013641401262197;0.0;6.570987562e-07;8.6659505241e-06;9.750135752e-07;generic dataset
5c82c3cf-7c88-441f-b430-a815501d06e1;End of life - Kupferrohr (ummantelt);End of life copper pipes (coated);'End of Life' / 'Generic' / 'Building service engineering';;;;;-1.40501201167625;-7.2e-15;-0.0011173305714363;-0.0248350429322224;-0.0005201764563311;generic dataset
5c1776a7-de57-4b4d-87fc-933f52fddd6e;Steinwolle Heizungsrohrschale;Mineral wool pipe jacket;'Building service engineering' / 'Heating' / 'Heat distribution and dissipation';;;151.0;;317.951517156937;2.3768e-12;0.0947017121791553;1.47658888448528;0.158389206026232;generic dataset
5c1776a7-de57-4b4d-87fc-933f52fddd6e;Steinwolle Heizungsrohrschale;Mineral wool pipe jacket;'Building service engineering' / 'Heating' / 'Heat distribution and dissipation';;;151.0;;0.0065688721834367;0.0;-1.44380060385e-05;3.75380992066e-05;9.5318794984e-06;generic dataset
5c1776a7-de57-4b4d-87fc-933f52fddd6e;Steinwolle Heizungsrohrschale;Mineral wool pipe jacket;'Building service engineering' / 'Heating' / 'Heat distribution and dissipation';;;151.0;;0.0163696815146373;0.0;7.8851850754e-06;0.0001039914062899;1.17001629032e-05;generic dataset
5bebcf89-2e6b-46ce-b05e-3e02929c8af4;Gussasphaltestrich;Mastic asphalt screed;'Mineral building products' / 'Asphalt' / 'Mastic asphalt';;;2400.0;;0.116880295632792;4e-16;2.09410030855e-05;0.000193409180213;2.55876397029e-05;generic dataset
5bebcf89-2e6b-46ce-b05e-3e02929c8af4;Gussasphaltestrich;Mastic asphalt screed;'Mineral building products' / 'Asphalt' / 'Mastic asphalt';;;2400.0;;0.003485736888164;0.0;-2.4200627161e-06;7.7565379376e-06;1.8622863761e-06;generic dataset
5bebcf89-2e6b-46ce-b05e-3e02929c8af4;Gussasphaltestrich;Mastic asphalt screed;'Mineral building products' / 'Asphalt' / 'Mastic asphalt';;;2400.0;;0.0;0.0;0.0;0.0;0.0;generic dataset
5bebcf89-2e6b-46ce-b05e-3e02929c8af4;Gussasphaltestrich;Mastic asphalt screed;'Mineral building products' / 'Asphalt' / 'Mastic asphalt';;;2400.0;;0.0793276191309788;2e-16;2.47749593929e-05;0.0002136265276368;0.0002289840204478;generic dataset
5b7f0790-4edc-4b00-9050-2920a7cff959;Nutzung - Gas-Wärmepumpe Luft (20 kW) 7°C;Usage - gas heat pump air (20 kW) 7°C;'Building service engineering' / 'Use' / 'Use heat generator';;;;;0.202682855640216;5e-16;1.53777309797e-05;0.0001127592122145;1.94931891383e-05;generic dataset
5b54ddd5-1b7b-4b61-ab30-a2ed8233d6ba;Nutzung - Pelletkessel (20 - 120 kW, entspr. EnEV);Usage - pellet boiler (20-120 kW, acc. EnEV);'Building service engineering' / 'Use' / 'Use heat generator (EnEV)';;;;;0.0242230227554671;3e-16;3.06289561936e-05;0.0003136595198773;7.2676322162e-05;generic dataset
5b00afcd-8b26-4945-857f-e280946e823f;Nutzung - Strom-Wärmepumpe Luft-Wasser 14kW (2/35);Usage - electric heat pump air-water 14kW (2/35);'Building service engineering' / 'Use' / 'Use heat generator';;;;;0.166645775888252;7.5e-15;1.5714406804e-05;0.0001896109355666;3.76541247464e-05;generic dataset
5ae00c4e-1b1c-4374-9864-2aee735a0563;Bitumen Kaltkleber (60% Bitumen, 23%LM, 17% Wasser);Bitumen cold adhesive (60% bitumen, 23% solvent, 17% water);'Plastics' / 'Sealing materials' / 'Bitumen';;;;;0.613280125100631;1.03e-14;0.0452864851094382;0.0016404525460131;0.0002728410194945;generic dataset
5ae00c4e-1b1c-4374-9864-2aee735a0563;Bitumen Kaltkleber (60% Bitumen, 23%LM, 17% Wasser);Bitumen cold adhesive (60% bitumen, 23% solvent, 17% water);'Plastics' / 'Sealing materials' / 'Bitumen';;;;;0.0037762149621777;0.0;-2.4200627161e-06;8.4029160991e-06;2.0174769074e-06;generic dataset
5ae00c4e-1b1c-4374-9864-2aee735a0563;Bitumen Kaltkleber (60% Bitumen, 23%LM, 17% Wasser);Bitumen cold adhesive (60% bitumen, 23% solvent, 17% water);'Plastics' / 'Sealing materials' / 'Bitumen';;;;;0.0;0.0;0.0;0.0;0.0;generic dataset
